"production_companies","production_countries"
"Sogecine","Spain"
"PSO International","United States of America"
"Vista Organization","United States of America"
"Epsilon Motion Pictures","United States of America"
"Jerry Weintraub Productions","Peru"
"New World Pictures","United States of America"
"National Broadcasting Company (NBC)","France"
"Cinema City","Hong Kong"
"Cinema City & Films Co.","Hong Kong"
"Vulcan Productions Inc.","United States of America"
"New Line Cinema","Australia"
"Lorimar Television","Canada"
"Kadokawa Shoten Publishing Co. Ltd.","Japan"
"Kennedy/Marshall Company, The","United States of America"
"Regency Enterprises","France"
"Neue Visionen","Germany"
"Xian Motion Picture Company","China"
"Dakar Film","Germany"
"American Zoetrope","Canada"
"Beta Film","Austria"
"Afghanfilm","Afghanistan"
"San Ignazio Cinematografica","Italy"
"Valoria Films","Algeria"
"Telespan 2000","Spain"
"Running With Scissors","Canada"
"Limago Filmproduktion","Germany"
"Turner Network Television","Germany"
"Sveva Film","France"
"CineTe Filmprodukite","Netherlands"
"Fons Rademakers Produktie","Netherlands"
"Beverly Detroit","United States of America"
"PolyGram Filmed Entertainment","Australia"
"Carlyle Blackwell Productions","United Kingdom"
"Boogui Cinema","South Korea"
"DreamWorks SKG","Germany"
"Dino de Laurentiis Cinematografica","France"
"Interscope Communications","United States of America"
"One Race Films","United States of America"
"Itala Film","Germany"
"Riba Filmproductions","Netherlands"
"Reteitalia","Italy"
"France 2 Cinéma","Italy"
"Vivàsvan Pictures","Germany"
"Konrad Pictures","United States of America"
"2003 Productions","France"
"Eddie Saeta","Spain"
"Coop 99","Austria"
"Les Films du Losange","France"
"VEB DEFA-Studio für Spielfilme","Poland"
"Australian Broadcasting Corporation","Australia"
"Astral Films, Australian Film Commission, The","Australia"
"Kinostudiya ''Mosfilm''","Bulgaria"
"Compagnie Eric Rohmer","France"
"Butcher's Run Productions","United States of America"
"Michael Todd Company","United States of America"
"Euro-International Film","France"
"Shooting Star Filmcompany BV","Netherlands"
"Scott Rudin Productions","United States of America"
"Film Trust S.A.","United States of America"
"Centropolis Film Productions","Germany"
"Turner Pictures","United States of America"
"Edison Manufacturing Company","United States of America"
"Deutsche Bioscop GmbH","Germany"
"Nordisk Film","Denmark"
"Hunnia Filmvállalat","Hungary"
"Luna-Film","Germany"
"Amalia Film GmbH","Germany"
"Richard-Oswald-Produktion","Germany"
"Carlton-Film","Germany"
"Межрабпом-Русь","Russia"
"Ecosse Films","United Kingdom"
"BraxtanFILM","United States of America"
"First National Bank of Chicago (London Branch)","United States of America"
"Cinema Arts Productions","United States of America"
"American Filmworks","United States of America"
"Morgan Creek Productions","United States of America"
"Emaus Films S.A.","Italy"
"101 Productions","United Kingdom"
"Les Productions Jacques Roitfeld","Spain"
"Dino de Laurentiis Cinematografica","Italy"
"Michael Relph Productions","United Kingdom"
"Trimark Pictures","Canada"
"World Wide Productions","United States of America"
"BBC","Germany"
"C.O.F.C.I.","France"
"Selig Polyscope Company","United States of America"
"Argos Films","Spain"
"Hisa-Film","France"
"Otto Preminger Films","United States of America"
"Lipow-Film","Germany"
"Famous Players-Lasky Corporation","United States of America"
"Hammer Film Productions","United Kingdom"
"Compagnie Jean Renoir","France"
"National Broadcasting Company (NBC)","United States of America"
"L'Écran d'Art","France"
"Charles Band Productions","United States of America"
"Lions Gate Films","United Kingdom"
"American Zoetrope","United Kingdom"
"Ceneca Producciones","Chile"
"Turner Pictures (I)","United Kingdom"
"Braunsberg Productions","France"
"Filmways Pictures","United States of America"
"Meadway","United States of America"
"Red Lion","United States of America"
"L.I.F.T. Production","United States of America"
"Hallmark Entertainment","Germany"
"Triangle Film Corporation","United States of America"
"Toei Animation","Japan"
"The Asylum","United States of America"
"The Mount Company","United States of America"
"Universal Pictures Co. Inc.","United States of America"
"Allied Film Makers","United Kingdom"
"Producciones Scarlata","Spain"
"Kasander Film Company","Germany"
"Intuit Pictures","Netherlands"
"Universal Television Entertainment","United States of America"
"Republic Pictures","United States of America"
"Paramount Pictures Corporation","United States of America"
"Transcona Enterprises","United States of America"
"C.V. Whitney Pictures","United States of America"
"Toho","Japan"
"A.J. Films","France"
"France Film","Canada"
"Condor International Productions","Italy"
"Independent International Pictures (I-I)","United States of America"
"Bagdasarian Company","United States of America"
"Pressman-Williams","United States of America"
"Toute Premiere Fois","France"
"R&R Productions","United Kingdom"
"Hercules Cinematografica","Spain"
"Circle Productions","United States of America"
"New Star Entertainment","United States of America"
"Regent Entertainment","United States of America"
"Classic Films International","Italy"
"20th Century Fox Home Entertainment","United States of America"
"Frisco Productions Limited","United States of America"
"Comptoir Français du Film Production","Spain"
"Aubrey Schenck Productions","United States of America"
"Cerito Films","United States of America"
"Vernon-Seneca Films","United States of America"
"Lucky Red","Italy"
"Film Bangkok","Thailand"
"Nippon Shuppan Hanbai (Nippan) K.K.","Japan"
"Fukasaku-gumi","Japan"
"Martien Holdings A.V.V.","Mexico"
"Fénix Cooperativa Cinematográfica","France"
"Michael Levy Enterprises","Canada"
"William Winckler Productions","United States of America"
"Santa Rosa Productions","United States of America"
"Glass Eye Pix","United States of America"
"Compton Films","United Kingdom"
"Gorevision Films","Argentina"
"Eichberg-Film","Germany"
"Seduction Cinema","United States of America"
"A&E Television Networks","United States of America"
"Spirit","United States of America"
"One Shot Productions","Spain"
"2929 Productions","France"
"M.G.D. Film","Italy"
"Mooncycle Pictures","United States of America"
"No Mercy Productions","Japan"
"Glen Warren Productions","Canada"
"Young America Productions","Mexico"
"Full Moon Pictures","United States of America"
"The Global Asylum","United States of America"
"Jürgen Brüning Filmproduktion","Germany"
"Cinemar","Italy"
"Jupiter Generale Cinematografica","Spain"
"International Apollo Films","Spain"
"Documento Film","Italy"
"Ilusionistas","Brazil"
"Acar Film","Turkey"
"Filmirage","Italy"
"Filmadora Independiente","Mexico"
"Centro Nacional Autónomo de Cinematografía","Venezuela"
"Albertini Film","Italy"
"Films A2","Germany"
"Lira Films","France"
"Purple Sea","United States of America"
"Cenfilco Tel Aviv","United Kingdom"
"Les Films Corona","Italy"
"Sonocam","Switzerland"
"Italgema Roma","Germany"
"Fildebroc","France"
"Cabrera Films","Mexico"
"ARD","Germany"
"Seymour Nebenzal Productions","United States of America"
"Transmonde Film","France"
"Capitolina Produzioni Cinematografiche","France"
"Albina Productions S.a.r.l.","Germany"
"Belstar Productions","Germany"
"Cinetel","France"
"Jupiter Generale Cinematografica","France"
"Les Productions Artistes Associés","Germany"
"Les Productions Artistes Associés","France"
"Ada Films","Germany"
"Cosmopolitan Productions","United States of America"
"Balcázar Producciones Cinematográficas","Germany"
"Playboy Enterprises","United Kingdom"
"Republic Pictures Corp. (I)","United States of America"
"Thousand Words","United States of America"
"BIF Productions","United Kingdom"
"Quadra Entertainment","United States of America"
"Franchise Pictures","United Kingdom"
"Rosa von Praunheim Filmproduktion","Germany"
"Associated British Picture Corporation","United Kingdom"
"Wiener Stadthalle-Station Betriebs-und Produktionsgesellschaft","Austria"
"Alfa Film","Germany"
"Brooksfilms","United States of America"
"Tag/Traum Filmproduktion","Germany"
"Sperl + Schott","Germany"
"Supercine","Spain"
"Pro-ject Filmproduktion","Germany"
"Alfa Film","United States of America"
"VEB DEFA-Studio für Spielfilme","Soviet Union"
"Front Street Productions","United States of America"
"AGK Productions","Canada"
"Thalia Productions","United States of America"
"Stormfilm Berlin","Germany"
"Columbia Pictures Corporation","Germany"
"Satel Fernseh- und Filmproduktion","Austria"
"Aretusa Film","United Kingdom"
"Triton","Spain"
"First National Pictures","United States of America"
"Sat.1","Germany"
"Sci-Fi Channel","United States of America"
"Harbor Ventures","United Kingdom"
"Dimitri De Grunwald Production","United Kingdom"
"Toho Pictures, Inc.","Japan"
"Island Park Films","United States of America"
"Arnold Pressburger Films","United States of America"
"Gorky Film Studios","Russia"
"Hal Roach Studios","United States of America"
"Screen Gems","United States of America"
"New Zealand Film Commission","New Zealand"
"Ferndale Films","Ireland"
"Wild Bear Films","United Kingdom"
"Filmation Productions","United States of America"
"Famous Artists Productions","France"
"Redeemable Features","United States of America"
"Onuk Film","Turkey"
"Graffiti Productions","United States of America"
"Filmvest International","Canada"
"Fono Roma","France"
"Laetitia Film","France"
"Clesi Cinematografica","Italy"
"Marianne Productions","France"
"Ascot","Spain"
"Copercines, Cooperativa Cinematográfica","Italy"
"Flora Film","Germany"
"Telemondial","Italy"
"Goriz Film","Italy"
"Kindai Eiga Kyokai","Japan"
"Universal Pictures","none"
"Vogue Motion Picture Company","United States of America"
"Senator Home Entertainment","Germany"
"Tesela Producciones Cinematográficas","Spain"
"Makatoa Media Producciones","Poland"
"Paramount Pictures","France"
"Endgame Entertainment","United States of America"
"Tim Burton Animation Company","United States of America"
"Ciné Valse","France"
"Flaminia Produzioni Cinematografiche","France"
"Element e Filmproduktion","Germany"
"Indigo Film","Italy"
"Albachiara","Switzerland"
"Adésif","Italy"
"Geffen Company, The","United States of America"
"Fuller Films","United States of America"
"Silver Films","France"
"Roxbury Productions","United States of America"
"Laurenfilm","Spain"
"Roxy Film","Portugal"
"Société des Etablissements L. Gaumont","Germany"
"Les Films de la Seine","France"
"Roth-Arnold Productions","United States of America"
"Obshchestvennoe Rossiyskoe Televidenie","Russia"
"Portman Entertainment Group","Ireland"
"TF1 Films Productions","United States of America"
"Fribergs Filmbyrå AB","Sweden"
"Artco Films","Switzerland"
"Borderie","France"
"October Films","United States of America"
"Lewis Gilbert Productions","United Kingdom"
"Nadiadwala Grandsons","India"
"Filmoblic","France"
"Pathé Renn Productions","Belgium"
"RKO Radio Pictures","Italy"
"Soprofilms","France"
"Viaduc Productions","Italy"
"EMI Films Ltd.","United Kingdom"
"Rome Paris Films","Italy"
"TF1 Films Productions","Germany"
"Norman Rosemont Productions","United Kingdom"
"Sascha-Verleih","Austria"
"P.P. Film Polski","Germany"
"Les Productions de la Guéville","France"
"Heimatfilm GbR","Germany"
"Endless Entertainment","United States of America"
"Sara Films","France"
"Films A2","United Kingdom"
"Woods Entertainment","United States of America"
"Les Productions Fox Europa","France"
"Beyond Therapy Entertainment","United Kingdom"
"Films A2","France"
"CineRocket","Japan"
"Brillstein-Grey Entertainment","Canada"
"Neue Münchner Fernsehproduktion","Germany"
"Gold/Miller Productions","United States of America"
"Gold/Miller Productions","Canada"
"Erfttal Film","Germany"
"Yash Raj Films","India"
"Dreamz Unlimited","India"
"Dharma Productions Dillywood","India"
"Stallion Releasing Inc.","United States of America"
"Visual Voodoo","United Kingdom"
"Ciné Vog Films","Belgium"
"films A2","France"
"Progefi","France"
"MK2 Productions","France"
"Les Films Flam","France"
"GG Studio","United Kingdom"
"The Flickerscope Company","United States of America"
"Francoriz Production","France"
"O.N.C.I.C.","Algeria"
"Concorde-New Horizons","United States of America"
"Rodeo Productions","United States of America"
"Iron Fist Motion Pictures","none"
"PM Entertainment Group","United States of America"
"Gladden Entertainment","Canada"
"Pathé Consortium Cinéma","Germany"
"PECF","France"
"Franz Seitz Filmproduktion","Germany"
"Viktoria Film","Austria"
"MCA Television Entertainment (MTE)","United States of America"
"Komplizen Film","Germany"
"Mosaic Media Group","United States of America"
"Film House Bas Celik","Germany"
"New Horizon Corporation","United States of America"
"American Playhouse","United States of America"
"Partnership Films","France"
"Chronos Film","Germany"
"Open Road Films (II)","United Kingdom"
"Rapid Film","Germany"
