"AwardCeremony","FilmID","FilmName","Year","Rated","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","totalSeasons","Season","Episode","seriesID","IMDb","Metacritic","RottenTomatoes","Rating","Rated.Date","Service","AFISilver","Theater","Watchlist","Nominations","Losses","Wins","wiki_title","wikibase_item","Studio","Distributor"
"51-1979","tt0077901","Mandy's Grandmother",1979,"N/A","30 min","Short, Drama, Family","Andrew Sugerman","Mary Munisteri","Maureen O'Sullivan, Amy Levitan, Kathryn Walker","A young tomboy and her prim grandmother quickly forget the disappointment of their first meeting and become friends.","English","United States","Nominated for 1 Oscar. 1 win & 2 nominations total","N/A","N/A","6.7","15","tt0077901","movie",NA,NA,NA,NA,"6.7/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"51-1979","tt0078017","Oh My Darling ...",1978,"N/A","7 min","Animation, Short","Børge Ring","N/A","N/A","The pure and unconditional love that parents have for a child is admirable, but, in this case, there is also value in letting go.","Dutch","Netherlands","Nominated for 1 Oscar. 1 win & 2 nominations total","https://m.media-amazon.com/images/M/MV5BNjI0NDY3Y2UtOWVmZS00YjEzLWE5NTQtNTBjYjRmZjAzNmI5XkEyXkFqcGdeQXVyNjc2NjkzNTg@._V1_SX300.jpg","N/A","6.4","162","tt0078017","movie",NA,NA,NA,NA,"6.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"51-1979","tt0078329","Strange Fruit",1979,"N/A","33 min","Drama, Short","Seth Pinsker","Stephen Katz, Seth Pinsker, Lillian Smith","Michael Cassidy, Nyles Harris, Wendell Wright","A black painter in 1948 Georgia faces racism after becoming involved with voter registration.","English","United States","Nominated for 1 Oscar. 2 wins & 1 nomination total","N/A","N/A","5.3","25","tt0078329","movie",NA,NA,NA,NA,"5.3/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"52-1980","tt0079354","It's So Nice to Have a Wolf Around the House",1979,"N/A","12 min","Animation, Short","Paul Fierlinger","Harry Allard, Jim Thurman, Paul Fierlinger","Jim Thurman","N/A","English","United States","Nominated for 1 Oscar. 1 win & 1 nomination total","https://m.media-amazon.com/images/M/MV5BZWNmYzFkNjctOWM2ZC00MTFlLTlhMTMtODc2MWUzNTk4YWQyXkEyXkFqcGdeQXVyMTEyODcxMTc@._V1_SX300.jpg","N/A","6.3","83","tt0079354","movie",NA,NA,NA,NA,"6.3/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"52-1980","tt0079402","The Killing Ground",1979,"N/A","48 min","Documentary","Tom Priestley, Steve Singer","Brit Hume","Brit Hume","The Killing Ground examines toxic waste, its effects on public health, and failures by government agencies and chemical companies to keep it contained.","English","United States","Nominated for 1 Oscar. 2 nominations total","N/A","N/A","5.5","27","tt0079402","movie",NA,NA,NA,NA,"5.5/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"52-1980","tt0079656","Oh Brother, My Brother",1979,"N/A","14 min","Short","Carol Lowell, Ross Lowell","Ross Lowell","N/A","This delightfully spontaneous film focuses on the love and affection two young brothers feel for each other. It captures the normal conflicts of early childhood -- the quick changes from happiness to sorrow, from cooperative play to","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","7.4","17","tt0079656","movie",NA,NA,NA,NA,"7.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"52-1980","tt0079923","Solly's Diner",1980,"PG","10 min","Short, Comedy, Crime","Larry Hankin","Larry Hankin","Ruth Silveira, Paul Willson, Larry Hankin","Oscar-nominated short film about a late-night encounter at a diner between a robber, a waitress, a hungry patron, and the owner.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNjJiYTgzZjgtMDc2Ny00YzdlLTkyOTgtMGU1MTJhN2I3YjYwXkEyXkFqcGdeQXVyNTMyODM3MTg@._V1_SX300.jpg","N/A","6.9","79","tt0079923","movie",NA,NA,NA,NA,"6.9/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"53-1981","tt0080713","Fall Line",1981,"G","12 min","Short, Sport","Bob Carmichael","N/A","N/A","Visually spectacular film about a recent development of extreme skiing, climbing to the top of one the peaks in the Grand Tetons and skiing down the extreme slopes. It follows one skier, Steve Shea, who had a exciting dangerous trip","English","United States","Nominated for 1 Oscar. 2 nominations total","https://m.media-amazon.com/images/M/MV5BZmMwMDQxZWYtNGE2My00NWMzLThhZGMtMWYyNjdiYzU5ZjczXkEyXkFqcGdeQXVyOTY1ODg1NTg@._V1_SX300.jpg","N/A","6.6","21","tt0080713","movie",NA,NA,NA,NA,"6.6/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"53-1981","tt0080974","A Jury of Her Peers",1980,"N/A","30 min","Short, Crime, Drama","Sally Heckel","Susan Glaspell, Sally Heckel","Diane de Lorian, Dorothy Lancaster, Sheila Hinchliffe","A farm woman is accused of murdering her husband in early 1900's Midwest America.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMTg1MDA5MDk5OV5BMl5BanBnXkFtZTcwMjEwOTkyMQ@@._V1_SX300.jpg","N/A","7.0","58","tt0080974","movie",NA,NA,NA,NA,"7.0/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"54-1982","tt0082207","Couples and Robbers",1981,"PG","29 min","Comedy, Short, Crime","Clare Peploe","Clare Peploe, Ernie Eban","Frances Low, Rik Mayall, Peter Eyre","Two couples - one with all the riches that dreams are made of, the other with only dreams and schemes - are brought together by the plotting of the poorer couple. A pair of newlyweds wander through the city streets, bickering about t","English","United Kingdom","Nominated for 1 Oscar. 2 nominations total","N/A","N/A","6.2","38","tt0082207","movie",NA,NA,NA,NA,"6.2/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"54-1982","tt0082212","The Creation",1981,"N/A","9 min","Animation, Short","Will Vinton","N/A","James Earl Jones","N/A","English","United States","Nominated for 1 Oscar. 1 win & 1 nomination total","https://m.media-amazon.com/images/M/MV5BNDE4ZDcwN2YtMmQ4Yi00OTYzLWFiODAtNDUxMDYxZDUxNThjXkEyXkFqcGdeQXVyMTEyODcxMTc@._V1_SX300.jpg","N/A","6.4","80","tt0082212","movie",NA,NA,NA,NA,"6.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"54-1982","tt0082288","Dragonslayer",1981,"PG","109 min","Action, Adventure, Fantasy","Matthew Robbins","Hal Barwood, Matthew Robbins","Peter MacNicol, Caitlin Clarke, Ralph Richardson","A young wizarding apprentice is sent to kill a dragon which has been devouring girls from a nearby kingdom.","English, Latin","United States","Nominated for 2 Oscars. 7 nominations total","https://m.media-amazon.com/images/M/MV5BZmNhNjUxN2EtMTRkNi00YzAzLTg5ODgtZjc2ZTUyNDBjODljXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg","68","6.7","17,592","tt0082288","movie",NA,NA,NA,NA,"6.7/10","68/100","82%",NA,NA,NA,NA,NA,NA,2,2,0,NA,NA,NA,NA
"54-1982","tt0082383","First Winter",1981,"N/A","27 min","Short, Drama, History","John N. Smith","Gloria Demers, Cynthia Scott","Kathleen McAuliffe, Sharon O'Niell, Eric Patrick Godfrey","With the father away, an Irish immigrant family struggle to survive their first winter in the Canadian wild.","English, Irish Gaelic","Canada","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMWU1YzIxNDYtOGZjNy00NzA3LTg4NDAtNzJjYjdkZDVmNjhjXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg","N/A","7.2","102","tt0082383","movie",NA,NA,NA,NA,"7.2/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0,NA,NA,NA,NA
"55-1983","tt0084683","The Silence",1982,"N/A","30 min","Short","Michael Toshiyuki Uno","Paul G. Hensler","Lynn Kuratomi, Eric Mansker, Seth Anthony Krakauer","During the Vietnam War, soldier Jason is injured and separated from his platoon. Mei, a mysterious young woman, finds him and takes him into her home.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BZjVkY2EwZmYtN2YxNS00ZTEwLTg4MDEtMDViNWMwOGEwZDk2XkEyXkFqcGdeQXVyNTMyODM3MTg@._V1_SX300.jpg","N/A","7.4","33","tt0084683","movie",NA,NA,NA,NA,"7.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"55-1983","tt0084713","Split Cherry Tree",1982,"N/A","26 min","Short, Drama","Andrey Konchalovskiy","N/A","Colleen Dewhurst, Jason Edward Alexander, Keith Dowd","On a school field trip some boys break a cherry tree and are punished. One of the boys has an overbearing father who believes in hard work and does not see the value in education. The surly father goes to confront the school.","English","Canada, United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","7.3","65","tt0084713","movie",NA,NA,NA,NA,"7.3/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"55-1983","tt0169446","The Fifth Estate",NA,"N/A","60 min","Documentary, News","N/A","N/A","Bob McKeown, Mark Kelley, Gillian Findlay","Investigative journalist news documentaries are presented.","English","Canada","Won 1 Oscar. 26 wins & 48 nominations total","https://m.media-amazon.com/images/M/MV5BMjMyNWRhMjUtOTIzNC00MWYzLWE5YTgtZmRjZDRjYmVlMDI3XkEyXkFqcGdeQXVyNjU0NTkxOTc@._V1_SX300.jpg","N/A","7.9","196","tt0169446","series",NA,NA,NA,NA,"7.9/10",NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA
"56-1984","tt0085613","Goodie-Two-Shoes",1984,"N/A","35 min","Short, Romance","Ian Emes","Ian Emes","Michael Waterman, Ann-Marie Gwatkin, Steve Sweeney","A teacher volunteers a group of misfit students to take a new dance class including a goodie-two-shoes and his bully. Awkwardness, friendship, competition, and romance follows.","English","United Kingdom","Nominated for 1 Oscar. 1 win & 1 nomination total","https://m.media-amazon.com/images/M/MV5BODNiNDBlMDQtYWM3My00ZDg3LThmNzUtNDI3YmFmNmI1YzcyXkEyXkFqcGdeQXVyNzY4NDM3MA@@._V1_SX300.jpg","N/A","6.7","19","tt0085613","movie",NA,NA,NA,NA,"6.7/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"56-1984","tt0086067","Overnight Sensation",1984,"TV-PG","28 min","Short, Drama","Jon Bloom","Craig Buck, W. Somerset Maugham","Louise Fletcher, Robert Loggia, Shari Belafonte","After housewife Eve Peregrine writes a sudden hit novel, her husband George, a successful fashion photographer, finds it difficult to deal with the attention being showered on her. His difficulty in getting through the book increases","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMjExNzc1MjE5Ml5BMl5BanBnXkFtZTgwMzU0ODk1MDE@._V1_SX300.jpg","N/A","7.2","42","tt0086067","movie",NA,NA,NA,NA,"7.2/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"56-1984","tt0086344","Sound of Sunshine - Sound of Rain",1983,"N/A","15 min","Animation, Short","Caroline Heyward","Dorothy Middleton, Eda Godel Hallinan, Florence Parry Heide","Damon Hines, Jimmy Arone, Lisa Bonet","A blind boy visualizes what he hears and experiences on a regular basis.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BZmM4ZWQ4ZjAtNGZjMy00M2Q2LWI2YjQtZGRlYTkzZmFkMmIwXkEyXkFqcGdeQXVyMTEyODcxMTc@._V1_SX300.jpg","N/A","7.3","39","tt0086344","movie",NA,NA,NA,NA,"7.3/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"57-1985","tt0087156","Doctor DeSoto",1984,"N/A","7 min","Animation, Short","Michael Sporn","William Steig","Ian Thomson","A mouse dentist finds a way help a fox with a toothache without getting eaten.","English","United States","Nominated for 1 Oscar. 3 wins & 1 nomination total","https://m.media-amazon.com/images/M/MV5BMTI5MDU1NjgyMF5BMl5BanBnXkFtZTcwNzU2OTEyMQ@@._V1_SX300.jpg","N/A","6.7","100","tt0087156","movie",NA,NA,NA,NA,"6.7/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"57-1985","tt0087871","The Painted Door",1984,"N/A","24 min","Short, Drama","Bruce Pittman","Sinclair Ross, Joe Wiesenfeld","Linda Goranson, Eric Peterson, August Schellenberg","A single woman of over forty years meets a lonely young man looking for a good time.","English","Canada","Nominated for 1 Oscar. 2 wins & 1 nomination total","https://m.media-amazon.com/images/M/MV5BNmQxYjNlMWYtY2RhNy00ZjRjLWFlYWMtNDEwZjIwNjVkNWIxXkEyXkFqcGdeQXVyNjUxNzYzNzE@._V1_SX300.jpg","N/A","6.1","69","tt0087871","movie",NA,NA,NA,NA,"6.1/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"57-1985","tt0088223","Tales of Meeting and Parting",1985,"N/A","15 min","Short","Lesli Linka Glatter","N/A","Jeanne Sakata, Patricia Ayame Thomson, Bruce Wright","N/A","English","United States","Nominated for 1 Oscar. 2 nominations total","N/A","N/A","6.8","11","tt0088223","movie",NA,NA,NA,NA,"6.8/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"58-1986","tt0089225","Graffiti",1985,"N/A","28 min","Short","Matthew Patrick","Matthew Patrick, Randle Russell","Barbara Ammon, Alex Andranian, Ramon Angeloni","A young man who lives in a South American military dictatorship goes out during curfew to make drawings with chalk, for thrills.","English","United States","Nominated for 1 Oscar. 4 wins & 2 nominations total","https://m.media-amazon.com/images/M/MV5BNzAwYTVhYWQtZDgwYy00ZTc3LThjNzgtNzkzNzhmOGIwNDNjXkEyXkFqcGdeQXVyMDc3MTk2OQ@@._V1_SX300.jpg","N/A","8.0","36","tt0089225","movie",NA,NA,NA,NA,"8.0/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"58-1986","tt0089980","Second Class Mail",1985,"N/A","4 min","Animation, Comedy, Short","Alison Snowden","N/A","N/A","A lonely woman sends off for a special mail-order package.","None","United Kingdom","Nominated for 1 Oscar. 1 win & 2 nominations total","https://m.media-amazon.com/images/M/MV5BMDVhZWYxMmUtMmE4ZC00YWJkLTk0ZjEtYTZlYzY4NTJlYWJlXkEyXkFqcGdeQXVyODI2NzkzMA@@._V1_SX300.jpg","N/A","5.7","148","tt0089980","movie",NA,NA,NA,NA,"5.7/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"59-1987","tt0091021","Exit",1985,"N/A","16 min","Short, Sci-Fi","Pino Quartullo, Stefano Reali","Luca D'Ascanio, Elena Dreon, Stephan Gasser","Pasquale Anselmo, Luca Di Fulvio, Monica Guazzini","On July 12, 3503, a research team explores remnants of humans past and find themselves in a very unusual and strange place, a movie theater.","Italian","Italy","Nominated for 1 Oscar. 1 win & 1 nomination total","N/A","N/A","6.6","29","tt0091021","movie",NA,NA,NA,NA,"6.6/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"59-1987","tt0091438","Love Struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"60-1988","tt0092999","Eyes on the Prize",NA,"TV-PG","360 min","Documentary, History","N/A","Henry Hampton","Julian Bond, Coretta Scott King, John Lewis","A documentary about the American Civil Rights Movement from 1952 to 1965.","English","United States","Nominated for 1 Oscar. 11 wins & 5 nominations total","https://m.media-amazon.com/images/M/MV5BOWM3ZGY5ZWYtZjZlMS00MjcwLThmMTktMjNhYTA4OWIxYjcwXkEyXkFqcGdeQXVyNzQ3MDc3ODI@._V1_SX300.jpg","N/A","9.1","633","tt0092999","series",NA,NA,NA,NA,"9.1/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"60-1988","tt0093478","Making Waves",1987,"N/A","12 min","Short, Drama","Jenny Wilkes","Clare Boylan (short story), Jenny Wilkes (script)","Sheila Hancock, Kenneth Cranham, Lila Kaye, Maggie Holland","A group of elderly women go on vacation to the seaside. One of them takes her son along and constantly watches him saying he has a brain tumor. His problem is something else entirely.","English","UK","N/A","https://m.media-amazon.com/images/M/MV5BOTFmZTBhMzQtZTkxOS00OWMzLWJkZmEtMjFkYmU0MjFiNDZkXkEyXkFqcGdeQXVyMzY2ODUzMjA@._V1_SX300.jpg","N/A","7.6","13","tt0093478","movie",NA,NA,NA,NA,"7.6/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"60-1988","tt0093960","Shoeshine",1987,"N/A","10 min","Short, Comedy","Tom Abrams","Tom Abrams","Jerry Stiller, Ben Stiller, Flash Rose","During a ride on the Staten Island Ferry, a young Wall Street investment banker and an old shoeshine man begin chatting and discussing their life philosophies.","English","United States","Nominated for 1 Oscar. 2 nominations total","N/A","N/A","6.8","60","tt0093960","movie",NA,NA,NA,NA,"6.8/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"61-1989","tt0094825","Cadillac Dreams",1988,"N/A","30 min","Short","Matia Karrell","Ehrich Van Lowe, C.W. Cressler, Matia Karrell","Claude Brooks, Donald Fullilove, Mario Gardner","A young drug runner's dreams of being a great inventor give way to the equally unlikely dream of living to be 20.","English","United States","Nominated for 1 Oscar. 2 nominations total","https://m.media-amazon.com/images/M/MV5BMmNhYjQwM2YtY2VjYi00NGUwLWI1ZDYtN2VmNmIyMGVhYWFlXkEyXkFqcGdeQXVyODgzNDIwODA@._V1_SX300.jpg","N/A","7.1","37","tt0094825","movie",NA,NA,NA,NA,"7.1/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"61-1989","tt0095261","Gullah Tales",1988,"N/A","20 min","Short","Gary Moss","Gary Moss","E. Katibo Bennett, Martha DeWeese, Barbara Gagrinsky","A elder woman on a slave plantation in 1830 tells the story of John Hayes and his literal fight to obtain his freedom.","English","United States, Canada","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNmFhMDBiMmEtYzY4MC00OWQzLWE1YTMtMzk2YTU1MTMyOWUzXkEyXkFqcGdeQXVyMjE4MzcyNA@@._V1_SX300.jpg","N/A","6.4","34","tt0095261","movie",NA,NA,NA,NA,"6.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"62-1990","tt0096798","Amazon Diary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"62-1990","tt0097057","The Child Eater",1989,"N/A","15 min","Short","Jonathan Tammuz","Lib Stephen","Alun Armstrong, Jonathan Cecil, Anna Cropper","A little girl sent to the countryside fears her uncle, whom she's been told eats children.","English","United Kingdom","Nominated for 1 Oscar. 2 nominations total","https://m.media-amazon.com/images/M/MV5BMjliZDkzMjYtOGE3ZC00NjhiLWIxYjEtMmYwMWY1N2M3YTYzXkEyXkFqcGdeQXVyMzY2ODUzMjA@._V1_SX300.jpg","N/A","6.5","34","tt0097057","movie",NA,NA,NA,NA,"6.5/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"63-1991","tt0099182","Bronx Cheers",1991,"N/A","30 min","Short, Sport","Raymond De Felitta","Raymond De Felitta","Macka Foley, Jolene Rae Harrington, Cathy McAuley","Danny returns to the Bronx after serving in WWII. He dreams of becoming a songwriter and instead gets sidetracked by an aging boxer tired of taking dives. After an ingenious ploy, both friends get exactly what they dreamed for.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNmIzNThiMWItZDM3MC00ZTI5LWJiZDgtZDRmMmFiOWI3NTA1XkEyXkFqcGdeQXVyNDM0ODc3MA@@._V1_SX300.jpg","N/A","6.8","50","tt0099182","movie",NA,NA,NA,NA,"6.8/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"63-1991","tt0099317","Creature Comforts",1989,"TV-G","5 min","Animation, Short, Comedy","Nick Park","Nick Park","Julie Sedgewick","A humourous and thought provoking view of what animals in zoos might be thinking about their captivity and surroundings.","English","United Kingdom","Won 1 Oscar. 6 wins & 2 nominations total","https://m.media-amazon.com/images/M/MV5BMTQyMjk1MzI0NF5BMl5BanBnXkFtZTgwMjc2NDkwMzE@._V1_SX300.jpg","N/A","7.7","6,536","tt0099317","movie",NA,NA,NA,NA,"7.7/10",NA,"93%",NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA
"63-1991","tt0100579","Senzeni Na?",1990,"N/A","30 min","Short","Bernard Joffa","N/A","Jeff Tyler","South Africa 1980, a black man is accused of being a terrorist and is subsequently tortured by the white police.","N/A","South Africa","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","6.8","26","tt0100579","movie",NA,NA,NA,NA,"6.8/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"64-1992","tt0101456","Birch Street Gym",1991,"N/A","25 min","Short, Comedy, Drama","Stephen Kessler","Mike Wilkins, Stephen Kessler","Joe Alfasa, Jack Anker, Willie Armstrong","A group of elderly retirees join a boxing gym, and rediscover their self-worth as they repudiate expectations that they're too old to lead vigorous lives. Jack is particularly relieved to escape the tedium of his retirement home, as","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","6.1","34","tt0101456","movie",NA,NA,NA,NA,"6.1/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"64-1992","tt0102268","Last Breeze of Summer",1991,"N/A","30 min","Drama, Short","Arik Caspi","David M. Massey, Marilyn Webber","Dave Bean, Julian Doster, Starletta DuPois","This is a coming of age story about a young black girl. Lizzy Davis, a school Principal, reminisces about her adolescence in Ranford, Texas in 1957. As a result of the Supreme Court desegregation order, Ranford is about to integrate","English","United States","Nominated for 1 Oscar. 2 nominations total","https://m.media-amazon.com/images/M/MV5BMGZiNWY1ZTktNmM3Ni00Yjc4LWI4NjMtODMwMjkwY2Q0NGVlXkEyXkFqcGdeQXVyMzg1MTgyOA@@._V1_SX300.jpg","N/A","7.3","33","tt0102268","movie",NA,NA,NA,NA,"7.3/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"64-1992","tt0102997","Strings",1991,"N/A","10 min","Animation, Short","Wendy Tilby","Wendy Tilby","N/A","This film explores the distant relationship between an elderly amateur musician, the woman who lives in the apartment above him and the leaky bathtub that is bothering them both.","None","Canada","Nominated for 1 Oscar. 4 wins & 2 nominations total","https://m.media-amazon.com/images/M/MV5BNzRjNzk2M2MtYWNlYS00MWExLWE0ODItMGEyNTJjMDc3MjdjXkEyXkFqcGdeQXVyNTA1NDY3NzY@._V1_SX300.jpg","N/A","6.5","262","tt0102997","movie",NA,NA,NA,NA,"6.5/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"65-1993","tt0104032","Cruise Control",1992,"N/A","20 min","Short","Matt Palmieri","N/A","Ed Begley Jr., Sean Penn, Max Perlich","N/A","English","United States","Nominated for 1 Oscar. 1 win & 2 nominations total","N/A","N/A","3.8","57","tt0104032","movie",NA,NA,NA,NA,"3.8/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"65-1993","tt0104669","The Lady in Waiting",1992,"N/A","28 min","Short","Christian Taylor","Christian Taylor","Virginia McKenna, Rodney Hudson, Beth McGee-Russell","In 1970s New York, a drag queen and elderly woman meet during a blackout.","English","United States","Nominated for 1 Oscar. 2 wins & 1 nomination total","N/A","N/A","6.6","43","tt0104669","movie",NA,NA,NA,NA,"6.6/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"65-1993","tt0105224","Words, Words, Words",1991,"N/A","10 min","Animation, Short","Michaela Pavlátová","N/A","N/A","In a noisy bar crammed with people, the remarkably diverse clientele interacts with each other through a series of lively bubbles. Words can be rich and emotional, or sharp and pitilessly accurate; but, what would man be without them","Czech","Czechoslovakia","Nominated for 1 Oscar. 4 wins & 2 nominations total","https://m.media-amazon.com/images/M/MV5BYzhkMTA0NTctOTQwYi00NWUzLTg0ZjQtODc2YTg0YjY2YTZmXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg","N/A","7.2","298","tt0105224","movie",NA,NA,NA,NA,"7.2/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"65-1993","tt0105335","Screen Play",1993,"N/A","11 min","Animation, Short","Barry Purves","Ernst Loub","Michael Maloney","With visual aids, a narrator tells a story of forbidden love in Feudal Japan, but life has other plans.","English","United Kingdom","Nominated for 1 Oscar. 5 wins & 1 nomination total","https://m.media-amazon.com/images/M/MV5BMjM3MTg5NTA3Ml5BMl5BanBnXkFtZTgwNjYwOTc5MTE@._V1_SX300.jpg","N/A","7.3","171","tt0105335","movie",NA,NA,NA,NA,"7.3/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"66-1994","tt0106428","Blindscape",1993,"N/A","8 min","Animation, Short","Stephen Palmer","Stephen Palmer","N/A","A blind man awakes in what may be a forest. (What he touches or hears is in color; the rest of the world, when it is visible to us, is in black and white.) First he explores his surroundings. Then fear takes over, what he hears and t","N/A","United Kingdom","Nominated for 1 Oscar. 1 win & 2 nominations total","https://m.media-amazon.com/images/M/MV5BZDg1ODRkMmUtOTdjMy00NTljLWFmZTEtMGI1ZDNlZTRhYjM4XkEyXkFqcGdeQXVyMTEyODcxMTc@._V1_SX300.jpg","N/A","6.4","69","tt0106428","movie",NA,NA,NA,NA,"6.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"66-1994","tt0106766","Down on the Waterfront",1993,"N/A","27 min","Short","Stacy Title","Jonathan Penner, Stacy Title","Jason Alexander, Ed Asner, Jonathan Penner","Two filmmakers, eager to make a feature film that will improve the tarnished reputation of the longshoreman's union, meet with union officials.","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","7.8","48","tt0106766","movie",NA,NA,NA,NA,"7.8/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"66-1994","tt0108165","Small Talk",1994,"N/A","6 min","Animation, Short","Bob Godfrey","Stan Hayward","Bob Godfrey","An Oscar nominated cartoon about underestimating those appearing small and weak.","English","United Kingdom","Nominated for 1 Oscar. 2 nominations total","https://m.media-amazon.com/images/M/MV5BMzUzNGM1NGEtY2M4My00N2JiLWIyMmItZmFkM2QxYWI4OWMxXkEyXkFqcGdeQXVyMTEyODcxMTc@._V1_SX300.jpg","N/A","5.9","93","tt0108165","movie",NA,NA,NA,NA,"5.9/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
